scenario,task_id,x_m,y_m,z_m,priority,task_type,service_s,earliest_s,latest_s
1,1,60.92847904831751,816.4960372795415,90.35134658337151,1,5,68.97499666624387,20.413043641368795,594.8097052226104
1,2,707.5120928667951,783.2199050646441,92.34956001703584,3,5,68.23786432307077,10.25989461384041,472.5896757794204
1,3,847.7267481217596,206.16124663605473,58.68820076031667,2,0,44.857530517632654,94.40020763911332,646.3672444736194
1,4,236.28277430613016,261.2499766779286,50.7762497526097,2,5,70.63655657950636,83.25570000842887,789.5725885625636
1,5,286.5711943940874,494.9392280149842,76.34808556238949,3,5,67.1850350275334,88.09439078275658,859.7080960643159
1,6,338.67315993977854,530.0687904711552,68.69467078237506,1,1,70.03649139049512,88.25289589066675,594.5251219935498
1,7,431.21575687565286,212.99612185313944,47.76098844555094,2,3,40.25617678878332,90.15430292599021,645.7587594355134
1,8,815.050882705383,814.31387177704,84.9033588460566,4,0,48.46894904407878,44.00738647865283,783.3703569764994
1,9,144.7669015943809,292.2322376232012,47.13432086098331,3,0,46.593379297546086,65.56380378473196,818.5177040043126
1,10,476.4710471459131,237.34260784739462,57.08060685897286,4,4,53.1386434613274,130.21393694818556,607.7822937302133
1,11,914.2302491717014,797.8507408736233,94.77993425824437,3,5,68.96612522613175,52.906059545109954,601.8698247468022
1,12,658.6114586534746,210.96618790055413,54.86252804024451,2,0,35.69132370895448,76.82586107690081,639.0267957364246
1,13,565.7458097374849,463.3919168349615,85.21038627070632,3,2,70.34550051417408,147.08720611838524,868.6869128517416
2,1,268.28045758682254,289.31069970983486,51.72180089180192,4,4,50.98002277430099,162.7342122603387,774.1469154720909
2,2,347.0601037934775,479.06098578453214,67.91117471956457,3,0,39.67456708520748,126.58594931547415,687.7650746932038
2,3,567.0658838949927,450.13848544538155,60.060369981338546,2,5,71.29535874057831,128.4128328500587,919.4646243968023
2,4,930.9477103043668,523.0674728904527,69.58454140514898,2,1,60.85854892611578,127.84899375193658,865.6134984482737
2,5,658.0492610460378,483.7996550760629,66.29975178641033,4,5,71.67185131242928,37.35795815152423,420.2557397809768
2,6,935.0447061457929,796.4211491687827,90.12843086882144,2,3,35.63015683114173,140.26364476957633,874.8937247793153
